"registry__name","label","reference"
"application","vnd.hal+xml","[Mike_Kelly]"
"application","vnd.HandHeld-Entertainment+xml","[Eric_Hamilton]"
"application","vnd.hbci","[Ingo_Hammann]"
"application","vnd.hcl-bireports","[Doug_R._Serres]"
"application","vnd.heroku+json","[Wesley_Beary]"
"application","vnd.hhe.lesson-player","[Randy_Jones]"
"application","vnd.hp-HPGL","[Bob_Pentecost]"
"application","vnd.hp-hpid","[Aloke_Gupta]"
"application","vnd.hp-hps","[Steve_Aubrey]"
"application","vnd.hp-jlyt","[Amir_Gaash]"
"application","vnd.hp-PCL","[Bob_Pentecost]"
